"

Model","MSE
mean
","MSE
std
","RMSE
mean
","RMSE
std
","Pearson
mean
","Pearson
std
","R2
mean
","R2
std
"
LightGBM,1.428694,0.018790,1.195257,0.007882,0.905415,0.002613,0.817757,0.003205
PASO,0.976755,0.023606,0.988243,0.012016,0.936257,0.001195,0.870871,0.002504
PASO (Omics),0.883695,0.015229,0.940019,0.008083,0.942491,0.001117,0.883821,0.002094
PathDSP (Omics),1.102439,0.032515,1.049868,0.015475,0.928200,0.001488,0.836537,0.011561
Precily,1.212557,0.021021,1.101125,0.009530,0.919819,0.001587,0.831130,0.004221
Random Forest,1.481315,0.025110,1.217053,0.010342,0.900647,0.002465,0.811036,0.004390
SVM,1.858377,0.023927,1.363198,0.008776,0.873512,0.002071,0.762955,0.003633
XGBoost,1.348084,0.015293,1.161053,0.006585,0.909979,0.001590,0.828039,0.002893
